,date,game_center,geo_location,attendance,capacity,home,guest
0,2015-10-28 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Pelicans
1,2015-10-29 18:00:00,Amway Center,"Orlando, FL",18846,18500,Magic,Wizards
2,2015-10-29 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,76ers
3,2015-10-29 18:30:00,The Palace of Auburn Hills,"Detroit, MI",18434,22076,Pistons,Jazz
4,2015-10-29 18:30:00,AmericanAirlines Arena,"Miami, FL",19724,19600,Heat,Hornets
5,2015-10-29 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pacers
6,2015-10-29 19:00:00,Toyota Center,"Houston, TX",18240,18104,Rockets,Nuggets
7,2015-10-29 19:00:00,FedExForum,"Memphis, TN",18119,18119,Grizzlies,Cavaliers
8,2015-10-29 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Bucks,Knicks
9,2015-10-29 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Spurs
10,2015-10-29 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Mavericks
11,2015-10-29 21:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Pelicans
12,2015-10-29 21:00:00,Sleep Train Arena,"Sacramento, CA",17458,17317,Kings,Clippers
13,2015-10-29 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Timberwolves
14,2015-10-30 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Grizzlies
15,2015-10-30 19:00:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Hawks
16,2015-10-30 21:30:00,STAPLES Center,"Los Angeles, CA",19218,19060,Clippers,Mavericks
17,2015-10-31 18:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Heat
18,2015-10-31 18:00:00,Amway Center,"Orlando, FL",18846,18500,Magic,Thunder
19,2015-10-31 18:00:00,Wells Fargo Center,"Philadelphia, PA",17122,20318,76ers,Jazz
20,2015-10-31 18:30:00,TD Garden,"Boston, MA",16898,18624,Celtics,Raptors
21,2015-10-31 18:30:00,The Palace of Auburn Hills,"Detroit, MI",16035,22076,Pistons,Bulls
22,2015-10-31 19:00:00,Philips Arena,"Atlanta, GA",17024,18729,Hawks,Hornets
23,2015-10-31 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",13858,18717,Bucks,Wizards
24,2015-10-31 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Nets
25,2015-10-31 20:00:00,Pepsi Center,"Denver, CO",17660,19155,Nuggets,Timberwolves
26,2015-10-31 20:30:00,Toyota Center,"Houston, TX",18142,18104,Rockets,Warriors
27,2015-10-31 21:00:00,Sleep Train Arena,"Sacramento, CA",17391,17317,Kings,Lakers
28,2015-10-31 21:30:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Blazers
29,2015-11-01 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",14412,18165,Pacers,Jazz
30,2015-11-01 18:00:00,Verizon Center,"Washington, DC",20356,20173,Wizards,Knicks
31,2015-11-01 18:30:00,Smoothie King Center,"New Orleans, LA",18406,17188,Pelicans,Warriors
32,2015-11-01 19:00:00,FedExForum,"Memphis, TN",16013,18119,Grizzlies,Nets
33,2015-11-01 21:00:00,Moda Center,"Portland, OR",17906,19441,Trail,Suns
34,2015-11-01 21:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Kings
35,2015-11-02 14:00:00,Spectrum Center,"Charlotte, NC",18691,19077,Hornets,Hawks
36,2015-11-02 15:30:00,TD Garden,"Boston, MA",17461,18624,Celtics,Spurs
37,2015-11-02 18:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Rockets
38,2015-11-02 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Bucks
39,2015-11-02 19:00:00,United Center,"Chicago, IL",21585,20917,Bulls,Magic
40,2015-11-02 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Nuggets
